session_turn_index,metric,group_dimension,group_value,unit,count,mean,stddev_population,min,p10,p25,p50,p75,p90,p95,p99,max,sum
29,isl_tokens,session_turn_index,29,tokens,2379,1063.1651954602773,2320.789734742681,4.0,37.0,66.0,230.0,1017.5,2692.4000000000074,4936.299999999997,11480.339999999971,42005.0,2529270.0
29,osl_tokens,session_turn_index,29,tokens,2379,676.927700714586,1354.5904579504063,1.0,45.80000000000001,102.5,232.0,658.0,1651.6000000000022,2967.0,6268.779999999981,23064.0,1610411.0
29,context_length_tokens,session_turn_index,29,tokens,2379,93119.6805380412,40639.84823122397,15893.0,50317.2,64671.5,84896.0,112890.5,145515.80000000005,168173.19999999995,224425.53999999966,397463.0,221531720.0
30,isl_tokens,session_turn_index,30,tokens,2296,1025.5810104529617,2171.9529736893805,2.0,32.0,64.0,229.0,957.25,2476.5,4916.0,11074.450000000052,22686.0,2354734.0
30,osl_tokens,session_turn_index,30,tokens,2296,668.1215156794425,1289.0163069862415,1.0,46.0,107.0,248.0,620.0,1576.0,2988.0,6393.650000000013,14373.0,1534007.0
30,context_length_tokens,session_turn_index,30,tokens,2296,94959.2456445993,41161.15968054289,16095.0,51654.0,66535.5,86773.0,115165.25,148183.0,169641.75,227855.50000000003,399035.0,218026428.0
31,isl_tokens,session_turn_index,31,tokens,2237,1003.2025033527045,2084.478093084225,4.0,37.0,66.0,246.0,971.0,2581.0000000000005,4587.799999999999,11082.439999999984,23096.0,2244164.0
31,osl_tokens,session_turn_index,31,tokens,2237,632.1618238712562,1241.4074981269418,1.0,45.0,105.0,227.0,626.0,1568.4,2533.5999999999976,5918.9599999999855,18597.0,1414146.0
31,context_length_tokens,session_turn_index,31,tokens,2237,96725.47340187752,41864.86804597359,16191.0,52320.600000000006,68044.0,88437.0,117177.0,150913.80000000002,171914.7999999998,230408.59999999992,399384.0,216374884.0
32,isl_tokens,session_turn_index,32,tokens,2180,1048.284862385321,2282.799830091606,4.0,32.900000000000006,63.75,228.0,939.25,2517.4000000000033,5281.549999999997,12357.100000000004,22867.0,2285261.0
32,osl_tokens,session_turn_index,32,tokens,2180,652.0619266055046,1269.6597385400871,1.0,46.0,109.0,243.5,605.25,1494.800000000001,2929.8499999999954,6549.630000000004,15433.0,1421495.0
32,context_length_tokens,session_turn_index,32,tokens,2180,98615.31422018349,42566.970897848,16416.0,53346.4,69555.25,90300.5,119725.5,153516.90000000002,176963.34999999992,236601.16,399979.0,214981385.0
33,isl_tokens,session_turn_index,33,tokens,2122,1005.7445805843544,2171.0559027957825,5.0,29.0,62.0,236.0,940.75,2638.2000000000025,4300.749999999999,10739.0,34069.0,2134190.0
33,osl_tokens,session_turn_index,33,tokens,2122,640.5918944392083,1232.8700992830563,1.0,46.0,102.0,238.0,598.0,1501.1000000000008,2680.7999999999956,6446.539999999992,17297.0,1359336.0
33,context_length_tokens,session_turn_index,33,tokens,2122,100176.41093308199,42943.324556094834,16542.0,54147.50000000001,70724.25,91750.5,120898.0,156075.40000000002,179993.04999999996,237765.3899999999,401511.0,212574344.0
34,isl_tokens,session_turn_index,34,tokens,2068,971.3462282398452,2163.1246556029228,3.0,37.0,65.0,240.0,836.25,2564.3999999999987,4144.599999999999,10598.32,29814.0,2008744.0
34,osl_tokens,session_turn_index,34,tokens,2068,645.5923597678917,1254.749811183501,1.0,46.0,102.0,250.0,626.0,1490.2999999999995,2497.8499999999985,7059.519999999968,16422.0,1335085.0
34,context_length_tokens,session_turn_index,34,tokens,2068,101825.52901353965,43062.87419213054,16663.0,55269.9,71962.0,93544.5,122732.25,158195.59999999998,181115.94999999998,238781.32999999996,404585.0,210575194.0
35,isl_tokens,session_turn_index,35,tokens,2021,963.745175655616,2049.659069146747,3.0,37.0,65.0,225.0,964.0,2480.0,4203.0,10391.599999999999,26099.0,1947729.0
35,osl_tokens,session_turn_index,35,tokens,2021,662.7243938644235,1345.855839371293,1.0,45.0,105.0,229.0,649.0,1630.0,2535.0,6227.799999999999,29612.0,1339366.0
35,context_length_tokens,session_turn_index,35,tokens,2021,103665.15042058387,43837.61003276294,16931.0,57002.0,73186.0,95154.0,124690.0,161302.0,183990.0,241326.6,405123.0,209507269.0
36,isl_tokens,session_turn_index,36,tokens,1981,942.4482584553256,1906.7863826102466,4.0,35.0,66.0,221.0,909.0,2439.0,4460.0,10343.80000000001,16987.0,1866990.0
36,osl_tokens,session_turn_index,36,tokens,1981,656.1943462897526,1190.9372221175547,1.0,46.0,97.0,234.0,639.0,1728.0,2798.0,5697.400000000014,15596.0,1299921.0
36,context_length_tokens,session_turn_index,36,tokens,1981,105032.41544674407,44070.80055376022,17075.0,58155.0,74428.0,96696.0,126626.0,162488.0,187046.0,241363.20000000004,406467.0,208069215.0
