metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
isl_tokens,provider,claude,tokens,502,563,"(502,563]",3790,0.02082394698959352,110697,0.6082185910044945,182002
isl_tokens,provider,claude,tokens,563,631,"(563,631]",3619,0.019884396874759618,114316,0.6281029878792541,182002
isl_tokens,provider,claude,tokens,631,708,"(631,708]",4128,0.022681069438797375,118444,0.6507840573180514,182002
isl_tokens,provider,claude,tokens,708,795,"(708,795]",3658,0.02009868023428314,122102,0.6708827375523346,182002
isl_tokens,provider,claude,tokens,795,892,"(795,892]",3544,0.019472313491060537,125646,0.6903550510433951,182002
isl_tokens,provider,claude,tokens,892,1000,"(892,1000]",3903,0.021444819287700135,129549,0.7117998703310953,182002
isl_tokens,provider,claude,tokens,1000,1123,"(1000,1123]",3569,0.01960967461896023,133118,0.7314095449500555,182002
isl_tokens,provider,claude,tokens,1123,1259,"(1123,1259]",3662,0.020120658014747092,136780,0.7515302029648026,182002
isl_tokens,provider,claude,tokens,1259,1413,"(1259,1413]",3446,0.01893385786969374,140226,0.7704640608344964,182002
isl_tokens,provider,claude,tokens,1413,1585,"(1413,1585]",3211,0.01764266326743662,143437,0.7881067241019329,182002
isl_tokens,provider,claude,tokens,1585,1779,"(1585,1779]",3042,0.016714102042834696,146479,0.8048208261447677,182002
isl_tokens,provider,claude,tokens,1779,1996,"(1779,1996]",2947,0.01619212975681586,149426,0.8210129559015835,182002
isl_tokens,provider,claude,tokens,1996,2239,"(1996,2239]",2688,0.014769068471775035,152114,0.8357820243733586,182002
isl_tokens,provider,claude,tokens,2239,2512,"(2239,2512]",2648,0.014549290667135527,154762,0.8503313150404941,182002
isl_tokens,provider,claude,tokens,2512,2819,"(2512,2819]",2518,0.013835012802057121,157280,0.8641663278425512,182002
isl_tokens,provider,claude,tokens,2819,3163,"(2819,3163]",2362,0.012977879363963033,159642,0.8771442072065142,182002
isl_tokens,provider,claude,tokens,3163,3549,"(3163,3549]",2167,0.011906462566345425,161809,0.8890506697728596,182002
isl_tokens,provider,claude,tokens,3549,3982,"(3549,3982]",1951,0.010719662421292074,163760,0.8997703321941517,182002
isl_tokens,provider,claude,tokens,3982,4467,"(3982,4467]",1736,0.00953835672135471,165496,0.9093086889155064,182002
isl_tokens,provider,claude,tokens,4467,5012,"(4467,5012]",1528,0.008395512137229262,167024,0.9177042010527356,182002
isl_tokens,provider,claude,tokens,5012,5624,"(5012,5624]",1337,0.007346073120075604,168361,0.9250502741728113,182002
isl_tokens,provider,claude,tokens,5624,6310,"(5624,6310]",1252,0.006879045285216646,169613,0.9319293194580279,182002
isl_tokens,provider,claude,tokens,6310,7080,"(6310,7080]",1033,0.005675761804815332,170646,0.9376050812628433,182002
isl_tokens,provider,claude,tokens,7080,7944,"(7080,7944]",870,0.004780167250909331,171516,0.9423852485137526,182002
isl_tokens,provider,claude,tokens,7944,8913,"(7944,8913]",941,0.00517027285414446,172457,0.947555521367897,182002
isl_tokens,provider,claude,tokens,8913,10000,"(8913,10000]",724,0.003977978263975121,173181,0.9515334996318722,182002
isl_tokens,provider,claude,tokens,10000,11221,"(10000,11221]",734,0.0040329227151349985,173915,0.9555664223470072,182002
isl_tokens,provider,claude,tokens,11221,12590,"(11221,12590]",718,0.003945011593279195,174633,0.9595114339402864,182002
isl_tokens,provider,claude,tokens,12590,14126,"(12590,14126]",895,0.004917528378809024,175528,0.9644289623190954,182002
isl_tokens,provider,claude,tokens,14126,15849,"(14126,15849]",1085,0.005961472950846694,176613,0.9703904352699421,182002
isl_tokens,provider,claude,tokens,15849,17783,"(15849,17783]",888,0.00487906726299711,177501,0.9752695025329392,182002
isl_tokens,provider,claude,tokens,17783,19953,"(17783,19953]",967,0.005313128427160141,178468,0.9805826309600993,182002
isl_tokens,provider,claude,tokens,19953,22388,"(19953,22388]",561,0.00308238371006912,179029,0.9836650146701684,182002
isl_tokens,provider,claude,tokens,22388,25119,"(22388,25119]",595,0.003269194844012703,179624,0.9869342095141812,182002
isl_tokens,provider,claude,tokens,25119,28184,"(25119,28184]",487,0.002675794771486028,180111,0.9896100042856671,182002
isl_tokens,provider,claude,tokens,28184,31623,"(28184,31623]",315,0.001730750211536137,180426,0.9913407544972034,182002
isl_tokens,provider,claude,tokens,31623,35482,"(31623,35482]",412,0.0022637113877869474,180838,0.9936044658849903,182002
isl_tokens,provider,claude,tokens,35482,39811,"(35482,39811]",404,0.0022197558268590455,181242,0.9958242217118494,182002
isl_tokens,provider,claude,tokens,39811,44669,"(39811,44669]",206,0.0011318556938934737,181448,0.9969560774057428,182002
isl_tokens,provider,claude,tokens,44669,50119,"(44669,50119]",151,0.0008296612125141482,181599,0.9977857386182569,182002
isl_tokens,provider,claude,tokens,50119,56235,"(50119,56235]",97,0.0005329611762508105,181696,0.9983186997945077,182002
isl_tokens,provider,claude,tokens,56235,63096,"(56235,63096]",47,0.0002582389204514236,181743,0.9985769387149592,182002
isl_tokens,provider,claude,tokens,63096,70795,"(63096,70795]",31,0.00017032779859561982,181774,0.9987472665135548,182002
isl_tokens,provider,claude,tokens,70795,79433,"(70795,79433]",25,0.0001373611278996934,181799,0.9988846276414545,182002
isl_tokens,provider,claude,tokens,79433,89126,"(79433,89126]",21,0.00011538334743574246,181820,0.9990000109888902,182002
isl_tokens,provider,claude,tokens,89126,100000,"(89126,100000]",29,0.00015933890836364437,181849,0.9991593498972539,182002
isl_tokens,provider,claude,tokens,100000,112202,"(100000,112202]",12,6.593334139185284e-05,181861,0.9992252832386457,182002
